,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29.0,9.57,F,81
1,CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29.0,9.57,F,71
5,JZI,Airlines,Online,Value Plan,No,66,UNITED STATES,-121.0,42.35,F,44
11,JZI,Airlines,Online,Basic Plan,No,1,MALAYSIA,-18.0,6.3,M,47
12,KML,Travel Agency,Online,Premier Plan,No,53,NORWAY,-130.0,49.4,F,48
18,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,-18.0,6.3,M,47
21,C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,46.15,11.54,F,44
22,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.55,4.39,F,25
23,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94.0,23.5,M,34
24,C2B,Airlines,Online,Silver Plan,No,190,SINGAPORE,294.75,73.69,M,26
25,C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,389.0,97.25,F,30
105,JWT,Airlines,Online,Value Plan,No,11,INDIA,50.0,20.0,M,118
106,RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15.0,6.0,M,44
109,JZI,Airlines,Online,Basic Plan,No,45,AUSTRALIA,26.0,9.1,M,31
110,JZI,Airlines,Online,Basic Plan,No,181,INDONESIA,30.0,10.5,F,48
111,JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22.0,7.7,F,29
112,JZI,Airlines,Online,Basic Plan,No,22,THAILAND,18.0,6.3,M,66
113,JZI,Airlines,Online,Basic Plan,No,76,AUSTRALIA,35.0,12.25,M,57
114,JZI,Airlines,Online,Basic Plan,No,41,CHINA,44.0,15.4,F,37
115,JZI,Airlines,Online,Basic Plan,No,43,THAILAND,22.0,7.7,F,34
116,JZI,Airlines,Online,Basic Plan,No,5,CHINA,22.0,7.7,M,41
117,ART,Airlines,Online,24 Protect,No,56,PHILIPPINES,75.96,26.59,F,48
118,ART,Airlines,Online,24 Protect,No,3,SINGAPORE,12.5,4.38,M,48
119,ART,Airlines,Online,24 Protect,No,3,MALAYSIA,4.99,1.75,M,48
120,C2B,Airlines,Online,Bronze Plan,No,20,SINGAPORE,47.0,11.75,M,30
121,C2B,Airlines,Online,Bronze Plan,No,29,SINGAPORE,27.0,6.75,M,30
122,C2B,Airlines,Online,Bronze Plan,No,164,SINGAPORE,69.55,17.39,M,26
123,C2B,Airlines,Online,Bronze Plan,No,23,SINGAPORE,30.55,7.64,F,35
124,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,19.5,4.88,M,34
125,C2B,Airlines,Online,Silver Plan,No,29,SINGAPORE,31.85,7.96,M,45
126,C2B,Airlines,Online,Gold Plan,No,23,SINGAPORE,77.35,19.34,F,52
220,JWT,Airlines,Online,Value Plan,No,4,INDIA,62.0,24.8,F,118
225,JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,22.0,7.7,M,67
226,JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22.0,7.7,M,53
227,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22.0,7.7,F,60
228,JZI,Airlines,Online,Basic Plan,No,2,VIET NAM,18.0,6.3,F,57
229,JZI,Airlines,Online,Basic Plan,No,15,CAMBODIA,30.0,10.5,M,57
230,JZI,Airlines,Online,Basic Plan,No,90,MALAYSIA,22.0,7.7,F,57
231,JZI,Airlines,Online,Basic Plan,No,28,HONG KONG,35.0,12.25,M,52
232,JZI,Airlines,Online,Basic Plan,No,21,VIET NAM,22.0,7.7,M,40
233,JZI,Airlines,Online,Basic Plan,No,130,INDONESIA,33.0,11.55,F,38
234,JZI,Airlines,Online,Basic Plan,No,34,CHINA,22.0,7.7,F,46
235,JZI,Airlines,Online,Value Plan,No,49,AUSTRIA,67.0,23.45,F,49
236,JZI,Airlines,Online,Value Plan,No,33,AUSTRALIA,92.0,32.2,M,72
237,C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,17.55,4.39,M,31
238,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,M,35
239,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,17.55,4.39,F,26
240,C2B,Airlines,Online,Bronze Plan,No,28,SINGAPORE,17.55,4.39,M,33
241,C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,0.0,7.47,M,45
242,C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,38.35,9.59,F,34
243,C2B,Airlines,Online,Bronze Plan,No,55,SINGAPORE,94.0,23.5,M,30
244,C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,44.85,11.21,F,27
245,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,62.25,15.56,M,27
246,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,81.75,20.44,M,30
247,C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,62.25,15.56,M,29
248,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,43.55,10.89,M,45
249,C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,43.55,10.89,F,46
250,C2B,Airlines,Online,Silver Plan,No,34,SINGAPORE,109.0,27.25,F,27
251,C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,252.85,63.21,F,29
252,C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,260.63,65.16,F,30
253,C2B,Airlines,Online,Annual Silver Plan,No,369,SINGAPORE,260.63,65.16,F,47
254,C2B,Airlines,Online,Annual Silver Plan,No,368,SINGAPORE,252.85,63.21,M,30
367,JWT,Airlines,Online,Value Plan,No,16,INDIA,50.0,20.0,M,118
374,JZI,Airlines,Online,Basic Plan,No,4,MYANMAR,18.0,6.3,F,29
375,JZI,Airlines,Online,Basic Plan,No,54,HONG KONG,26.0,9.1,M,40
376,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,18.0,6.3,M,33
377,JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18.0,6.3,M,40
378,JZI,Airlines,Online,Basic Plan,No,104,JAPAN,35.0,12.25,M,38
379,JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22.0,7.7,M,42
